UX,UY,UZ,PX,PY,PZ
-54930224.56,-111739532.2,534268.6915,-31663515.37,-93495623.52,-323827.5832
-52990482.01,-116677060.2,328243.3746,-28649354.2,-96537111.06,-532697.513
-50969030.96,-121591200.7,117824.2771,-25607362.86,-99484949.48,-741052.5386
-48866586.41,-126479671.1,-96916.00991,-22541938.8,-102341886,-948732.144
-46683926.95,-131340211.6,-315901.5371,-19457081.28,-105110737,-1155596.729
-44421894.05,-136170587.1,-539053.0652,-16356416.89,-107794352.5,-1361525.645
-42081391.21,-140968588.6,-766288.1358,-13243225.84,-110395587.2,-1566415.323
-39663383.12,-145732035.4,-997521.1447,-10120468.22,-112917276,-1770177.499
-37168894.75,-150458776,-1232663.417,-6990809.709,-115362215.7,-1972737.578
-34599010.4,-155146690.9,-1471623.285,-3856646.337,-117733149.2,-2174033.115
-31954872.7,-159793693.1,-1714306.167,-720127.9635,-120032754.7,-2374012.432
-29237681.58,-164397730.3,-1960614.653,2416819.637,-122263636.8,-2572633.364
-26448693.17,-168956786.5,-2210448.581,5552474.19,-124428320.2,-2769862.127
-23589218.71,-173468883.2,-2463705.13,8685297.869,-126529245.9,-2965672.295
-20660623.35,-177932081,-2720278.905,11813919.75,-128568768.2,-3160043.895
-17664324.98,-182344481.2,-2980062.023,14937119.74,-130549153.9,-3352962.59
-14601792.97,-186704227.1,-3242944.207,18053813.87,-132472582.1,-3544418.959
-11474546.91,-191009505.2,-3508812.88,21163040.97,-134341144.8,-3734407.856
-8284155.323,-195258546.7,-3777553.251,24263950.5,-136156848.3,-3922927.841
-5032234.285,-199449628.9,-4049048.419,27355791.55,-137921615.3,-4109980.678
-1720446.085,-203581076.2,-4323179.463,30437902.91,-139637286.7,-4295570.895
1649502.185,-207651261.4,-4599825.541,33509704.08,-141305624.6,-4479705.389
5075860.059,-211658606.9,-4878863.989,36570687.13,-142928314.8,-4662393.09
8556835.149,-215601585.7,-5160170.419,39620409.4,-144506969.7,-4843644.65
12090594.63,-219478722.6,-5443618.821,42658486.91,-146043130.9,-5023472.186
15675266.76,-223288595,-5729081.661,45684588.39,-147538272.6,-5201889.041
19308942.37,-227029834.4,-6016429.987,48698429.99,-148993804.2,-5378909.583
22989676.45,-230701126.5,-6305533.526,51699770.38,-150411073.3,-5554549.028
26715489.72,-234301212.9,-6596260.793,54688406.5,-151791368.5,-5728823.28
30484370.19,-237828891.5,-6888479.187,57664169.58,-153135922,-5901748.797
34294274.82,-241283017.4,-7182055.101,60626921.69,-154445912.3,-6073342.47
38143131.07,-244662503.6,-7476854.025,63576552.53,-155722467,-6243621.522
42028838.61,-247966321.8,-7772740.646,66512976.6,-156966664.9,-6412603.415
45949270.94,-251193502.9,-8069578.956,69436130.63,-158179538.6,-6580305.771
49902277.03,-254343137.9,-8367232.357,72345971.28,-159362076.6,-6746746.309
53885683.06,-257414378.2,-8665563.762,75242473.03,-160515225.7,-6911942.777
57897294.05,-260406436,-8964435.704,78125626.33,-161639892.5,-7075912.912
61934895.56,-263318585.4,-9263710.435,80995435.91,-162736946.3,-7238674.386
65996255.42,-266150161.9,-9563250.033,83851919.22,-163807219.9,-7400244.776
70079125.42,-268900563.6,-9862916.507,86695105.08,-164851512.1,-7560641.528
74181243,-271569251.1,-10162571.9,89525032.44,-165870589,-7719881.93
78300333.03,-274155747.9,-10462078.38,92341749.26,-166865185.8,-7877983.091
82434109.43,-276659640.6,-10761298.37,95145311.48,-167836008.3,-8034961.92
86580277,-279080579.1,-11060094.61,97935782.12,-168783734,-8190835.109
90736533.03,-281418276.7,-11358330.31,100713230.5,-169709013.9,-8345619.122
94900569.11,-283672510.6,-11655869.2,103477731.3,-170612473.6,-8499330.182
99070072.8,-285843121.2,-11952575.65,106229364.3,-171494714.3,-8651984.266
103242729.3,-287930012.8,-12248314.78,108968213.3,-172356314.4,-8803597.092
107416223.4,-289933153.2,-12542952.56,111694365.8,-173197830.1,-8954184.122
111588240.7,-291852573.8,-12836355.86,114407912.6,-174019796.9,-9103760.55
115756469.8,-293688369.5,-13128392.62,117108947.2,-174822729.9,-9252341.306
119918603.8,-295440698.3,-13418931.89,119797565.4,-175607125.7,-9399941.054
124072342,-297109781.4,-13707843.94,122473865,-176373462.4,-9546574.185
128215391.3,-298695902.6,-13995000.36,125137945.5,-177122200.8,-9692254.829
132345468.5,-300199408.5,-14280274.15,127789907.6,-177853785.1,-9836996.846
136460301.4,-301620707.6,-14563539.8,130429853.2,-178568644,-9980813.833
140557630.4,-302960270.5,-14844673.41,133057885.1,-179267190.6,-10123719.12
144635210.7,-304218629.1,-15123552.72,135674106.6,-179949824,-10265725.79
148690813.4,-305396376.1,-15400057.27,138278621.5,-180616929.3,-10406846.67
152722227.3,-306494164.9,-15674068.43,140871533.8,-181268878.4,-10547094.3
156727260.4,-307512708.7,-15945469.5,143452947.6,-181906030.5,-10686481.03
160703741.6,-308452780.1,-16214145.82,146022967,-182528733,-10825018.91
164649522,-309315210.3,-16479984.79,148581695.9,-183137321.4,-10962719.78
168562476.8,-310100889,-16742876.02,151129237.9,-183732120.2,-11099595.24
172440506.6,-310810762.8,-17002711.36,153665696.2,-184313443.5,-11235656.64
176281538.9,-311445835.4,-17259385,156191173.6,-184881595,-11370915.14
180083529.6,-312007166.2,-17512793.53,158705772.3,-185436868.7,-11505381.63
183844464.5,-312495869.8,-17762836.03,161209593.7,-185979549.2,-11639066.81
187562360.6,-312913115.2,-18009414.13,163702738.7,-186509912.2,-11771981.15
191235267.8,-313260124.7,-18252432.06,166185307.4,-187028224.7,-11904134.94
194861270,-313538173.1,-18491796.77,168657399,-187534745.6,-12035538.22
198438486.6,-313748587.1,-18727417.95,171119112.1,-188029725.7,-12166200.87
201965073.8,-313892743.8,-18959208.12,173570544,-188513408.1,-12296132.55
205439226.1,-313972069.9,-19187082.67,176011791.6,-188986028.8,-12425342.72
208859177.1,-313988040.8,-19410959.94,178442950.3,-189447816.5,-12553840.68
212223201.5,-313942179.5,-19630761.27,180864115,-189898993.3,-12681635.52
215529615.8,-313836055.4,-19846411.07,183275379.2,-190339774.8,-12808736.17
218776779.7,-313671283.1,-20057836.84,185676835.8,-190770370.1,-12935151.38
221963097,-313449521.6,-20264969.27,188068576.4,-191190982.5,-13060889.71
225087017.5,-313172472.5,-20467742.26,190450691.7,-191601809.4,-13185959.58
228147037.2,-312841879.7,-20666092.95,192823271.2,-192003042.6,-13310369.23
231141700.1,-312459527.1,-20859961.83,195186403.4,-192394868.4,-13434126.74
234069598.9,-312027238.1,-21049292.71,197540176,-192777468,-13557240.04
236929376.1,-311546874.1,-21234032.84,199884675.3,-193151017.7,-13679716.91
239719725.2,-311020333,-21414132.85,202219986.7,-193515688.8,-13801564.97
242439391.4,-310449548,-21589546.89,204546194.6,-193871647.9,-13922791.71
245087172.8,-309836486.2,-21760232.61,206863382.2,-194219057.3,-14043404.46
247661920.9,-309183147.4,-21926151.19,209171631.8,-194558074.7,-14163410.43
250162541.9,-308491562.1,-22087267.39,211471024.6,-194888854,-14282816.68
252587997.5,-307763790.8,-22243549.57,213761640.8,-195211544.5,-14401630.15
254937305.3,-307001922,-22394969.73,216043559.4,-195526292.2,-14519857.65
257209540,-306208070.9,-22541503.51,218316858.5,-195833238.9,-14637505.84
259403833.9,-305384377.9,-22683130.22,220581615.4,-196132522.8,-14754581.3
261519377.8,-304533006.9,-22819832.88,222837906,-196424278.8,-14871090.45
263555421.4,-303656144,-22951598.19,225085805.5,-196708638.1,-14987039.61
265511273.8,-302755996,-23078416.59,227325388,-196985728.9,-15102434.99
267386304.7,-301834788.3,-23200282.26,229556726.5,-197255676,-15217282.68
269179944.2,-300894763.8,-23317193.11,231779893.3,-197518601,-15331588.66
270891683.9,-299938181.2,-23429150.8,233994959.6,-197774622.9,-15445358.82
272521076.8,-298967313.1,-23536160.74,236201995.6,-198023857.5,-15558598.92
274067738.3,-297984444.7,-23638232.1,238401070.7,-198266417.9,-15671314.63
275531345.9,-296991871.8,-23735377.8,240592253.3,-198502414.5,-15783511.52
276911640.3,-295991899.5,-23827614.52,242775610.9,-198731955,-15895195.07
278208425,-294986840.1,-23914962.66,244951210.2,-198955144.6,-16006370.66
279421566.9,-293979011.8,-23997446.37,247119116.8,-199172086.1,-16117043.57
280550996.6,-292970736.7,-24075093.51,249279395.5,-199382879.7,-16227219
