UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-36594570.42,-210449125.5,-2172045.258,27.63769654,-60.67944637,-2.693139903,49478299.67,-128725258.1,-4596582.445,37.68541829,-17.53561783,-2.112581536
-34169741.99,-215671028.4,-2406578.054,28.49027641,-60.19397611,-2.735672067,52724963.54,-130216418.6,-4778247.612,37.4685525,-16.98603054,-2.092686672
-31671860.07,-220849966.4,-2644736.457,29.32864079,-59.68495902,-2.777060709,55952825.68,-131661122.3,-4958208.481,37.2502992,-16.45999228,-2.073131282
-29102180.83,-225983923.4,-2886420.308,30.15214549,-59.15282218,-2.817274521,59161792.38,-133061344.5,-5136494.622,37.03124942,-15.95615061,-2.053920429
-26462015.48,-231070921,-3131526.785,30.96015956,-58.59801002,-2.856283196,62351817.35,-134418947.9,-5313135.932,36.81191161,-15.47324283,-2.035056762
-23752729.18,-236109019.8,-3379950.492,31.7520657,-58.02098395,-2.894057449,65522895.05,-135735689.7,-5488162.45,36.59272254,-15.01009007,-2.016540929
-20975739.82,-241096321,-3631583.546,32.52726071,-57.42222184,-2.930569034,68675054.93,-137013228.6,-5661604.195,36.37405671,-14.5655917,-1.998371938
-18132516.78,-246030967.9,-3886315.672,33.28515592,-56.8022176,-2.965790763,71808356.39,-138253131.5,-5833491.043,36.15623448,-14.13871987,-1.980547449
-15224579.65,-250911147.1,-4144034.289,34.02517758,-56.16148071,-2.999696523,74922884.45,-139456879.4,-6003852.618,35.93952915,-13.72851447,-1.963064035
-12253496.95,-255735089.8,-4404624.61,34.74676725,-55.50053575,-3.032261294,78018745.92,-140625872.9,-6172718.208,35.72417308,-13.33407836,-1.945917383
-9220884.754,-260501073.2,-4667969.731,35.44938218,-54.81992191,-3.063461157,81096066.11,-141761438.1,-6340116.697,35.51036302,-12.95457283,-1.929102479
-6128405.363,-265207421.7,-4933950.731,36.13249564,-54.12019249,-3.093273315,84154985.97,-142864830.5,-6506076.511,35.29826467,-12.58921346,-1.912613757
-2977765.864,-269852508.2,-5202446.768,36.79559728,-53.40191446,-3.121676103,87195659.56,-143937240.4,-6670625.576,35.08801677,-12.23726623,-1.896445219
229283.2729,-274434755.1,-5473335.179,37.43819345,-52.66566786,-3.148649,90218251.9,-144979796.5,-6833791.284,34.87973452,-11.89804386,-1.880590548
3490949.662,-278952635.2,-5746491.576,38.05980751,-51.91204541,-3.174172637,93222937.04,-145993570.2,-6995600.473,34.67351264,-11.5709025,-1.86504319
6805400.479,-283404673.5,-6021789.947,38.65998009,-51.14165188,-3.198228811,96209896.45,-146979579,-7156079.405,34.46942806,-11.25523859,-1.849796431
10170763.97,-287789447.4,-6299102.76,39.23826942,-50.35510366,-3.220800492,99179317.55,-147938789.7,-7315253.758,34.26754216,-10.950486,-1.834843456
13585130.97,-292105588.2,-6578301.061,39.79425153,-49.5530282,-3.24187183,102131392.5,-148872121.9,-7473148.618,34.06790283,-10.65611337,-1.820177401
17046556.48,-296351781.9,-6859254.579,40.32752054,-48.73606347,-3.261428162,105066316.9,-149780450.6,-7629788.478,33.87054623,-10.37162165,-1.805791397
20553061.2,-300526769.8,-7141831.826,40.83768885,-47.90485747,-3.279456019,107984289.3,-150664609.1,-7785197.239,33.6754983,-10.09654182,-1.791678601
24102633.16,-304629350,-7425900.204,41.32438736,-47.06006768,-3.295943129,110885510,-151525391.4,-7939398.213,33.48277613,-9.830432799,-1.777832228
27693229.3,-308658377.5,-7711326.105,41.78726571,-46.20236049,-3.310878423,113770180.3,-152363554.3,-8092414.128,33.29238913,-9.572879509,-1.764245571
31322777.09,-312612765.3,-7997975.018,42.22599238,-45.33241074,-3.324252036,116638502.2,-153179820.1,-8244267.137,33.10434007,-9.323491083,-1.750912022
34989176.2,-316491485.1,-8285711.63,42.64025493,-44.4509011,-3.336055311,119490677.5,-153974878.1,-8394978.828,32.91862597,-9.081899206,-1.737825087
38690300.11,-320293568,-8574399.934,43.02976009,-43.55852161,-3.3462808,122326907.8,-154749386.8,-8544570.231,32.7352389,-8.847756589,-1.724978394
42423997.82,-324018104.7,-8863903.331,43.39423395,-42.65596908,-3.354922262,125147393.5,-155503975.5,-8693061.834,32.55416667,-8.620735555,-1.712365709
46188095.49,-327664246.7,-9154084.735,43.73342203,-41.74394656,-3.361974665,127952334,-156239246.1,-8840473.589,32.37539346,-8.400526728,-1.699980934
49980398.13,-331231206.3,-9444806.677,44.04708943,-40.82316284,-3.367434185,130741927.1,-156955774.3,-8986824.931,32.1989003,-8.186837829,-1.68781812
53798691.33,-334718257.4,-9735931.411,44.33502088,-39.89433188,-3.371298201,133516369,-157654111.4,-9132134.786,32.02466562,-7.979392551,-1.675871464
57640742.89,-338124735.8,-10027321.01,44.59702083,-38.95817228,-3.373565295,136275853.7,-158334785.6,-9276421.583,31.85266559,-7.777929523,-1.664135313
61504304.62,-341450039.4,-10318837.49,44.83291354,-38.01540673,-3.374235246,139020573.2,-158998302.8,-9419703.272,31.68287452,-7.582201349,-1.652604168
