UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
99070072.8,-285843121.2,-11952575.65,48.28085662,-24.63844614,-3.428763973,106229364.3,-171494714.3,-8651984.266,31.77345691,-10.09057768,-1.760773804
103242729.3,-287930012.8,-12248314.78,48.30394849,-23.66916742,-3.416790741,108968213.3,-172356314.4,-8803597.092,31.62599397,-9.854941791,-1.748812191
107416223.4,-289933153.2,-12542952.56,48.30024545,-22.69988447,-3.403271304,111694365.8,-173197830.1,-8954184.122,31.47956374,-9.625621356,-1.73702799
111588240.7,-291852573.8,-12836355.86,48.26977016,-21.73133211,-3.388217056,114407912.6,-174019796.9,-9103760.55,31.33420046,-9.402379743,-1.725418129
115756469.8,-293688369.5,-13128392.62,48.21256489,-20.76424354,-3.371640499,117108947.2,-174822729.9,-9252341.306,31.18993346,-9.184991294,-1.713979519
119918603.8,-295440698.3,-13418931.89,48.12869144,-19.79934984,-3.353555236,119797565.4,-175607125.7,-9399941.054,31.04678766,-8.973240753,-1.702709059
124072342,-297109781.4,-13707843.94,48.01823107,-18.83737949,-3.333975953,122473865,-176373462.4,-9546574.185,30.90478396,-8.766922715,-1.691603653
128215391.3,-298695902.6,-13995000.36,47.88128433,-17.87905788,-3.312918412,125137945.5,-177122200.8,-9692254.829,30.76393963,-8.565841111,-1.680660211
132345468.5,-300199408.5,-14280274.15,47.71797101,-16.92510681,-3.290399432,127789907.6,-177853785.1,-9836996.846,30.6242687,-8.369808717,-1.669875664
136460301.4,-301620707.6,-14563539.8,47.52842997,-15.97624402,-3.266436878,130429853.2,-178568644,-9980813.833,30.48578227,-8.178646694,-1.659246967
140557630.4,-302960270.5,-14844673.41,47.31281898,-15.0331827,-3.241049646,133057885.1,-179267190.6,-10123719.12,30.34848876,-7.992184153,-1.648771102
144635210.7,-304218629.1,-15123552.72,47.07131464,-14.09663107,-3.214257646,135674106.6,-179949824,-10265725.79,30.21239423,-7.810257744,-1.638445087
148690813.4,-305396376.1,-15400057.27,46.80411215,-13.16729183,-3.186081789,138278621.5,-180616929.3,-10406846.67,30.07750259,-7.632711265,-1.628265979
152722227.3,-306494164.9,-15674068.43,46.51142517,-12.24586177,-3.15654397,140871533.8,-181268878.4,-10547094.3,29.9438158,-7.459395303,-1.618230876
156727260.4,-307512708.7,-15945469.5,46.19348563,-11.3330313,-3.125667049,143452947.6,-181906030.5,-10686481.03,29.81133411,-7.290166882,-1.608336918
160703741.6,-308452780.1,-16214145.82,45.85054356,-10.42948397,-3.093474837,146022967,-182528733,-10825018.91,29.68005621,-7.124889142,-1.598581296
164649522,-309315210.3,-16479984.79,45.48286686,-9.535896069,-3.059992077,148581695.9,-183137321.4,-10962719.78,29.54997936,-6.963431029,-1.588961244
168562476.8,-310100889,-16742876.02,45.09074113,-8.65293616,-3.025244427,151129237.9,-183732120.2,-11099595.24,29.42109962,-6.805667004,-1.579474049
172440506.6,-310810762.8,-17002711.36,44.67446942,-7.781264658,-2.989258439,153665696.2,-184313443.5,-11235656.64,29.29341191,-6.651476771,-1.570117047
176281538.9,-311445835.4,-17259385,44.23437203,-6.921533401,-2.952061545,156191173.6,-184881595,-11370915.14,29.16691015,-6.500745017,-1.560887626
180083529.6,-312007166.2,-17512793.53,43.77078624,-6.074385229,-2.913682032,158705772.3,-185436868.7,-11505381.63,29.04158739,-6.353361167,-1.551783225
183844464.5,-312495869.8,-17762836.03,43.28406613,-5.240453574,-2.874149026,161209593.7,-185979549.2,-11639066.81,28.91743588,-6.209219154,-1.542801335
187562360.6,-312913115.2,-18009414.13,42.77458227,-4.420362047,-2.833492471,163702738.7,-186509912.2,-11771981.15,28.79444719,-6.068217201,-1.5339395
191235267.8,-313260124.7,-18252432.06,42.24272147,-3.614724038,-2.791743109,166185307.4,-187028224.7,-11904134.94,28.67261227,-5.930257611,-1.525195315
194861270,-313538173.1,-18491796.77,41.68888656,-2.82414232,-2.748932458,168657399,-187534745.6,-12035538.22,28.55192153,-5.795246577,-1.516566426
198438486.6,-313748587.1,-18727417.95,41.11349605,-2.049208656,-2.705092792,171119112.1,-188029725.7,-12166200.87,28.43236492,-5.663093994,-1.508050533
201965073.8,-313892743.8,-18959208.12,40.51698388,-1.290503422,-2.660257118,173570544,-188513408.1,-12296132.55,28.31393197,-5.533713284,-1.499645383
205439226.1,-313972069.9,-19187082.67,39.89979916,-0.548595222,-2.614459156,176011791.6,-188986028.8,-12425342.72,28.19661187,-5.407021235,-1.491348777
208859177.1,-313988040.8,-19410959.94,39.2624058,0.175959476,-2.567733315,178442950.3,-189447816.5,-12553840.68,28.08039349,-5.282937838,-1.483158562
212223201.5,-313942179.5,-19630761.27,38.60528225,0.882616709,-2.52011467,180864115,-189898993.3,-12681635.52,27.96526546,-5.161386145,-1.475072637
215529615.8,-313836055.4,-19846411.07,37.92892118,1.570845372,-2.471638942,183275379.2,-190339774.8,-12808736.17,27.8512162,-5.042292125,-1.467088948
218776779.7,-313671283.1,-20057836.84,37.23382917,2.240127575,-2.42234247,185676835.8,-190770370.1,-12935151.38,27.73823393,-4.925584533,-1.459205486
221963097,-313449521.6,-20264969.27,36.52052635,2.889958981,-2.372262192,188068576.4,-191190982.5,-13060889.71,27.62630675,-4.811194783,-1.451420292
225087017.5,-313172472.5,-20467742.26,35.78954607,3.519849145,-2.321435617,190450691.7,-191601809.4,-13185959.58,27.51542265,-4.699056829,-1.44373145
228147037.2,-312841879.7,-20666092.95,35.0414346,4.129321848,-2.269900804,192823271.2,-192003042.6,-13310369.23,27.40556951,-4.589107051,-1.43613709
231141700.1,-312459527.1,-20859961.83,34.2767507,4.717915414,-2.217696333,195186403.4,-192394868.4,-13434126.74,27.29673519,-4.481284148,-1.428635386
234069598.9,-312027238.1,-21049292.71,33.49606535,5.285183029,-2.164861284,197540176,-192777468,-13557240.04,27.1889075,-4.375529036,-1.421224553
236929376.1,-311546874.1,-21234032.84,32.69996131,5.830693052,-2.111435212,199884675.3,-193151017.7,-13679716.91,27.08207421,-4.271784754,-1.413902849
239719725.2,-311020333,-21414132.85,31.8890328,6.354029309,-2.057458118,202219986.7,-193515688.8,-13801564.97,26.97622314,-4.169996365,-1.406668573
242439391.4,-310449548,-21589546.89,31.06388507,6.854791396,-2.002970423,204546194.6,-193871647.9,-13922791.71,26.87134211,-4.070110876,-1.399520065
